word,sentiment
abandon,negative
abandoned,negative
abandoning,negative
abandonment,negative
abandonments,negative
abandons,negative
abdicated,negative
abdicates,negative
abdicating,negative
abdication,negative
abdications,negative
aberrant,negative
aberration,negative
aberrational,negative
aberrations,negative
abetting,negative
abnormal,negative
abnormalities,negative
abnormality,negative
abnormally,negative
abolish,negative
abolished,negative
abolishes,negative
abolishing,negative
abrogate,negative
abrogated,negative
abrogates,negative
abrogating,negative
abrogation,negative
abrogations,negative
abrupt,negative
abruptly,negative
abruptness,negative
absence,negative
absences,negative
absenteeism,negative
abuse,negative
abused,negative
abuses,negative
abusing,negative
abusive,negative
abusively,negative
abusiveness,negative
accident,negative
accidental,negative
accidentally,negative
accidents,negative
accusation,negative
accusations,negative
accuse,negative
accused,negative
accuses,negative
accusing,negative
acquiesce,negative
acquiesced,negative
acquiesces,negative
acquiescing,negative
acquit,negative
acquits,negative
acquittal,negative
acquittals,negative
acquitted,negative
acquitting,negative
adulterate,negative
adulterated,negative
adulterating,negative
adulteration,negative
adulterations,negative
adversarial,negative
adversaries,negative
adversary,negative
adverse,negative
adversely,negative
adversities,negative
adversity,negative
aftermath,negative
aftermaths,negative
against,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggravation,negative
aggravations,negative
alerted,negative
alerting,negative
alienate,negative
alienated,negative
alienates,negative
alienating,negative
alienation,negative
alienations,negative
allegation,negative
allegations,negative
allege,negative
alleged,negative
allegedly,negative
alleges,negative
alleging,negative
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoys,negative
annul,negative
annulled,negative
annulling,negative
annulment,negative
annulments,negative
annuls,negative
anomalies,negative
anomalous,negative
anomalously,negative
anomaly,negative
anticompetitive,negative
antitrust,negative
argue,negative
argued,negative
arguing,negative
argument,negative
argumentative,negative
arguments,negative
arrearage,negative
arrearages,negative
arrears,negative
arrest,negative
arrested,negative
arrests,negative
artificially,negative
assault,negative
assaulted,negative
assaulting,negative
assaults,negative
assertions,negative
attrition,negative
aversely,negative
backdating,negative
bad,negative
bail,negative
bailout,negative
balk,negative
balked,negative
bankrupt,negative
bankruptcies,negative
bankruptcy,negative
bankrupted,negative
bankrupting,negative
bankrupts,negative
bans,negative
barred,negative
barrier,negative
barriers,negative
bottleneck,negative
bottlenecks,negative
boycott,negative
boycotted,negative
boycotting,negative
boycotts,negative
breach,negative
breached,negative
breaches,negative
breaching,negative
break,negative
breakage,negative
breakages,negative
breakdown,negative
breakdowns,negative
breaking,negative
breaks,negative
bribe,negative
bribed,negative
briberies,negative
bribery,negative
bribes,negative
bribing,negative
bridge,negative
broken,negative
burden,negative
burdened,negative
burdening,negative
burdens,negative
burdensome,negative
burned,negative
calamities,negative
calamitous,negative
calamity,negative
cancel,negative
canceled,negative
canceling,negative
cancellation,negative
cancellations,negative
cancelled,negative
cancelling,negative
cancels,negative
careless,negative
carelessly,negative
carelessness,negative
catastrophe,negative
catastrophes,negative
catastrophic,negative
catastrophically,negative
caution,negative
cautionary,negative
cautioned,negative
cautioning,negative
cautions,negative
cease,negative
ceased,negative
ceases,negative
ceasing,negative
censure,negative
censured,negative
censures,negative
censuring,negative
challenge,negative
challenged,negative
challenges,negative
challenging,negative
chargeoffs,negative
circumvent,negative
circumvented,negative
circumventing,negative
circumvention,negative
circumventions,negative
circumvents,negative
claiming,negative
claims,negative
clawback,negative
closed,negative
closeout,negative
closeouts,negative
closing,negative
closings,negative
closure,negative
closures,negative
coerce,negative
coerced,negative
coerces,negative
coercing,negative
coercion,negative
coercive,negative
collapse,negative
collapsed,negative
collapses,negative
